id,name,brand,categoryId,mpn,mpn_confidence
"cpu-intel-intel-core-i9-13900k","Intel Core i9-13900K","Intel","cpu","BX8071513900K","high"
"cpu-intel-intel-core-i9-13900ks","Intel Core i9-13900KS","Intel","cpu","BX8071513900KS","high"
"cpu-intel-intel-core-i3-14100","Intel Core i3-14100","Intel","cpu","BX8071514100","high"
"cpu-intel-intel-core-i3-14100f","Intel Core i3-14100F","Intel","cpu","BX8071514100F","high"
"cpu-intel-intel-core-i5-14400","Intel Core i5-14400","Intel","cpu","BX8071514400","high"
"cpu-intel-intel-core-i5-14400f","Intel Core i5-14400F","Intel","cpu","BX8071514400F","high"
"cpu-intel-intel-core-i5-14600k","Intel Core i5-14600K","Intel","cpu","BX8071514600K","high"
"cpu-intel-intel-core-i5-14600kf","Intel Core i5-14600KF","Intel","cpu","BX8071514600KF","high"
"cpu-intel-intel-core-i7-14700k","Intel Core i7-14700K","Intel","cpu","BX8071514700K","high"
"cpu-intel-intel-core-i7-14700kf","Intel Core i7-14700KF","Intel","cpu","BX8071514700KF","high"
"cpu-intel-intel-core-i9-14900k","Intel Core i9-14900K","Intel","cpu","BX8071514900K","high"
"cpu-intel-intel-core-i9-14900ks","Intel Core i9-14900KS","Intel","cpu","BX8071514900KS","high"
"cpu-intel-intel-core-ultra-5-245k","Intel Core Ultra 5 245K","Intel","cpu","BX80768245K","high"
"cpu-intel-intel-core-ultra-5-245kf","Intel Core Ultra 5 245KF","Intel","cpu","BX80768245KF","high"
"cpu-intel-intel-core-ultra-7-265k","Intel Core Ultra 7 265K","Intel","cpu","BX80768265K","high"
"cpu-intel-intel-core-ultra-7-265kf","Intel Core Ultra 7 265KF","Intel","cpu","BX8071514265KF","high"
"cpu-intel-intel-core-ultra-9-285k","Intel Core Ultra 9 285K","Intel","cpu","BX8071514285K","high"
"cpu-intel-intel-core-ultra-5-250k-plus","Intel Core Ultra 5 250K Plus","Intel","cpu","BX8071515250K","medium"
"cpu-intel-intel-core-ultra-5-250kf-plus","Intel Core Ultra 5 250KF Plus","Intel","cpu","BX8071515250KF","medium"
"cpu-intel-intel-core-ultra-7-270k-plus","Intel Core Ultra 7 270K Plus","Intel","cpu","BX8071515270K","medium"
"cpu-intel-intel-core-ultra-7-270kf-plus","Intel Core Ultra 7 270KF Plus","Intel","cpu","BX8071515270KF","medium"
"ram-crucial-micron-crucial-basic-ddr4-8gb-1x8gb-2666mt-s","Crucial Basic DDR4 8GB (1x8GB) 2666MT/s","Crucial / Micron","ram","CT8G4DFRA266","medium"
"ram-crucial-micron-crucial-basic-ddr4-16gb-2x8gb-2666mt-s","Crucial Basic DDR4 16GB (2x8GB) 2666MT/s","Crucial / Micron","ram","CT2K8G4DFRA266","medium"
"ram-crucial-micron-crucial-basic-ddr4-8gb-1x8gb-3200mt-s","Crucial Basic DDR4 8GB (1x8GB) 3200MT/s","Crucial / Micron","ram","CT8G4DFRA32A","high"
"ram-crucial-micron-crucial-basic-ddr4-16gb-2x8gb-3200mt-s","Crucial Basic DDR4 16GB (2x8GB) 3200MT/s","Crucial / Micron","ram","CT2K8G4DFRA32A","high"
"ram-crucial-micron-crucial-basic-ddr4-16gb-1x16gb-2666mt-s","Crucial Basic DDR4 16GB (1x16GB) 2666MT/s","Crucial / Micron","ram","CB16GU2666","medium"
"ram-crucial-micron-crucial-basic-ddr4-32gb-2x16gb-2666mt-s","Crucial Basic DDR4 32GB (2x16GB) 2666MT/s","Crucial / Micron","ram","CB2K16GU2666","medium"
"ram-crucial-micron-crucial-basic-ddr4-16gb-1x16gb-3200mt-s","Crucial Basic DDR4 16GB (1x16GB) 3200MT/s","Crucial / Micron","ram","CB16GU3200","medium"
"ram-crucial-micron-crucial-basic-ddr4-32gb-2x16gb-3200mt-s","Crucial Basic DDR4 32GB (2x16GB) 3200MT/s","Crucial / Micron","ram","CB2K16GU3200","medium"
"ram-crucial-micron-crucial-basic-ddr4-32gb-1x32gb-2666mt-s","Crucial Basic DDR4 32GB (1x32GB) 2666MT/s","Crucial / Micron","ram","CB32GU2666","medium"
"ram-crucial-micron-crucial-basic-ddr4-64gb-2x32gb-2666mt-s","Crucial Basic DDR4 64GB (2x32GB) 2666MT/s","Crucial / Micron","ram","CB2K32GU2666","medium"
"ram-crucial-micron-crucial-basic-ddr4-32gb-1x32gb-3200mt-s","Crucial Basic DDR4 32GB (1x32GB) 3200MT/s","Crucial / Micron","ram","CB32GU3200","medium"
"ram-crucial-micron-crucial-basic-ddr4-64gb-2x32gb-3200mt-s","Crucial Basic DDR4 64GB (2x32GB) 3200MT/s","Crucial / Micron","ram","CB2K32GU3200","medium"
"ram-crucial-micron-crucial-pro-ddr4-16gb-1x16gb-3200mt-s","Crucial Pro DDR4 16GB (1x16GB) 3200MT/s","Crucial / Micron","ram","CP16G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr4-32gb-2x16gb-3200mt-s","Crucial Pro DDR4 32GB (2x16GB) 3200MT/s","Crucial / Micron","ram","CP2K16G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr4-32gb-1x32gb-3200mt-s","Crucial Pro DDR4 32GB (1x32GB) 3200MT/s","Crucial / Micron","ram","CP32G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr4-64gb-2x32gb-3200mt-s","Crucial Pro DDR4 64GB (2x32GB) 3200MT/s","Crucial / Micron","ram","CP2K32G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr4-64gb-1x64gb-3200mt-s","Crucial Pro DDR4 64GB (1x64GB) 3200MT/s","Crucial / Micron","ram","","unknown"
"ram-crucial-micron-crucial-pro-ddr4-128gb-2x64gb-3200mt-s","Crucial Pro DDR4 128GB (2x64GB) 3200MT/s","Crucial / Micron","ram","","unknown"
"ram-crucial-micron-crucial-basic-ddr5-8gb-1x8gb-4800mt-s","Crucial Basic DDR5 8GB (1x8GB) 4800MT/s","Crucial / Micron","ram","CB8GS4800","medium"
"ram-crucial-micron-crucial-basic-ddr5-16gb-2x8gb-4800mt-s","Crucial Basic DDR5 16GB (2x8GB) 4800MT/s","Crucial / Micron","ram","CB2K8GS4800","medium"
"ram-crucial-micron-crucial-basic-ddr5-8gb-1x8gb-5600mt-s","Crucial Basic DDR5 8GB (1x8GB) 5600MT/s","Crucial / Micron","ram","CB8GS5600","low"
"ram-crucial-micron-crucial-basic-ddr5-16gb-2x8gb-5600mt-s","Crucial Basic DDR5 16GB (2x8GB) 5600MT/s","Crucial / Micron","ram","CB2K8GS5600","low"
"ram-crucial-micron-crucial-basic-ddr5-16gb-1x16gb-4800mt-s","Crucial Basic DDR5 16GB (1x16GB) 4800MT/s","Crucial / Micron","ram","CB16GS4800","medium"
"ram-crucial-micron-crucial-basic-ddr5-32gb-2x16gb-4800mt-s","Crucial Basic DDR5 32GB (2x16GB) 4800MT/s","Crucial / Micron","ram","CB2K16GS4800","medium"
"ram-crucial-micron-crucial-basic-ddr5-16gb-1x16gb-5600mt-s","Crucial Basic DDR5 16GB (1x16GB) 5600MT/s","Crucial / Micron","ram","CT16G56C46U5","medium"
"ram-crucial-micron-crucial-basic-ddr5-32gb-2x16gb-5600mt-s","Crucial Basic DDR5 32GB (2x16GB) 5600MT/s","Crucial / Micron","ram","CT2K16G56C46U5","medium"
"ram-crucial-micron-crucial-basic-ddr5-32gb-1x32gb-4800mt-s","Crucial Basic DDR5 32GB (1x32GB) 4800MT/s","Crucial / Micron","ram","CT32G48C40U5","medium"
"ram-crucial-micron-crucial-basic-ddr5-64gb-2x32gb-4800mt-s","Crucial Basic DDR5 64GB (2x32GB) 4800MT/s","Crucial / Micron","ram","CT2K32G48C40U5","medium"
"ram-crucial-micron-crucial-basic-ddr5-32gb-1x32gb-5600mt-s","Crucial Basic DDR5 32GB (1x32GB) 5600MT/s","Crucial / Micron","ram","CT32G56C46U5","medium"
"ram-crucial-micron-crucial-basic-ddr5-64gb-2x32gb-5600mt-s","Crucial Basic DDR5 64GB (2x32GB) 5600MT/s","Crucial / Micron","ram","CT2K32G56C46U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-16gb-1x16gb-5600mt-s","Crucial Pro DDR5 16GB (1x16GB) 5600MT/s","Crucial / Micron","ram","CP16G56C46U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-32gb-2x16gb-5600mt-s","Crucial Pro DDR5 32GB (2x16GB) 5600MT/s","Crucial / Micron","ram","CP2K16G56C46U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-16gb-1x16gb-6000mt-s","Crucial Pro DDR5 16GB (1x16GB) 6000MT/s","Crucial / Micron","ram","CP16G60C48U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-32gb-2x16gb-6000mt-s","Crucial Pro DDR5 32GB (2x16GB) 6000MT/s","Crucial / Micron","ram","CP2K16G60C48U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-16gb-1x16gb-6400mt-s","Crucial Pro DDR5 16GB (1x16GB) 6400MT/s","Crucial / Micron","ram","CP16G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr5-32gb-2x16gb-6400mt-s","Crucial Pro DDR5 32GB (2x16GB) 6400MT/s","Crucial / Micron","ram","CP2K16G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr5-32gb-1x32gb-5600mt-s","Crucial Pro DDR5 32GB (1x32GB) 5600MT/s","Crucial / Micron","ram","CP32G4DFRA56A","medium"
"ram-crucial-micron-crucial-pro-ddr5-64gb-2x32gb-5600mt-s","Crucial Pro DDR5 64GB (2x32GB) 5600MT/s","Crucial / Micron","ram","CP2K32G4DFRA56A","medium"
"ram-crucial-micron-crucial-pro-ddr5-32gb-1x32gb-6000mt-s","Crucial Pro DDR5 32GB (1x32GB) 6000MT/s","Crucial / Micron","ram","CP32G4DFRA60A","low"
"ram-crucial-micron-crucial-pro-ddr5-64gb-2x32gb-6000mt-s","Crucial Pro DDR5 64GB (2x32GB) 6000MT/s","Crucial / Micron","ram","CP2K32G4DFRA60A","low"
"ram-crucial-micron-crucial-pro-ddr5-32gb-1x32gb-6400mt-s","Crucial Pro DDR5 32GB (1x32GB) 6400MT/s","Crucial / Micron","ram","CP32G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr5-64gb-2x32gb-6400mt-s","Crucial Pro DDR5 64GB (2x32GB) 6400MT/s","Crucial / Micron","ram","CP2K32G4DFRA32A","medium"
"ram-crucial-micron-crucial-pro-ddr5-64gb-1x64gb-5600mt-s","Crucial Pro DDR5 64GB (1x64GB) 5600MT/s","Crucial / Micron","ram","CP64G4DFRA56A","low"
"ram-crucial-micron-crucial-pro-ddr5-128gb-2x64gb-5600mt-s","Crucial Pro DDR5 128GB (2x64GB) 5600MT/s","Crucial / Micron","ram","CP2K64G4DFRA56A","low"
"ram-crucial-micron-crucial-pro-ddr5-64gb-1x64gb-6000mt-s","Crucial Pro DDR5 64GB (1x64GB) 6000MT/s","Crucial / Micron","ram","CP64G60C48U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-128gb-2x64gb-6000mt-s","Crucial Pro DDR5 128GB (2x64GB) 6000MT/s","Crucial / Micron","ram","CP2K64G60C48U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-64gb-1x64gb-6400mt-s","Crucial Pro DDR5 64GB (1x64GB) 6400MT/s","Crucial / Micron","ram","CP64G64C52U5","medium"
"ram-crucial-micron-crucial-pro-ddr5-128gb-2x64gb-6400mt-s","Crucial Pro DDR5 128GB (2x64GB) 6400MT/s","Crucial / Micron","ram","CP2K64G64C52U5","medium"
"ram-crucial-micron-crucial-pro-overclocking-ddr5-64gb-2x32gb-6000mt-s","Crucial Pro Overclocking DDR5 64GB (2x32GB) 6000MT/s","Crucial / Micron","ram","CP2K32G60C36U5","medium"
"ram-crucial-micron-crucial-pro-overclocking-ddr5-64gb-2x32gb-6400mt-s","Crucial Pro Overclocking DDR5 64GB (2x32GB) 6400MT/s","Crucial / Micron","ram","CP2K32G64C52U5","medium"
"ram-crucial-micron-crucial-pro-overclocking-ddr5-128gb-2x64gb-6000mt-s","Crucial Pro Overclocking DDR5 128GB (2x64GB) 6000MT/s","Crucial / Micron","ram","CP2K64G60C48U5W","low"
"ram-crucial-micron-crucial-pro-overclocking-ddr5-128gb-2x64gb-6400mt-s","Crucial Pro Overclocking DDR5 128GB (2x64GB) 6400MT/s","Crucial / Micron","ram","CP2K64G64C52U5W","low"
"ram-samsung-samsung-ddr4-udimm-8gb-1x8gb-2666mt-s","Samsung DDR4 UDIMM 8GB (1x8GB) 2666MT/s","Samsung","ram","M378A1K43EB2-CTD","medium"
"ram-samsung-samsung-ddr4-udimm-8gb-1x8gb-2933mt-s","Samsung DDR4 UDIMM 8GB (1x8GB) 2933MT/s","Samsung","ram","M378A1K43EB2-CVF","medium"
"ram-samsung-samsung-ddr4-udimm-8gb-1x8gb-3200mt-s","Samsung DDR4 UDIMM 8GB (1x8GB) 3200MT/s","Samsung","ram","M378A1K43EB2-CWE","medium"
"ram-samsung-samsung-ddr4-udimm-16gb-1x16gb-2666mt-s","Samsung DDR4 UDIMM 16GB (1x16GB) 2666MT/s","Samsung","ram","M378A2K43CB1-CTD","medium"
"ram-samsung-samsung-ddr4-udimm-16gb-1x16gb-2933mt-s","Samsung DDR4 UDIMM 16GB (1x16GB) 2933MT/s","Samsung","ram","M378A2K43DB1-CVF","medium"
"ram-samsung-samsung-ddr4-udimm-16gb-1x16gb-3200mt-s","Samsung DDR4 UDIMM 16GB (1x16GB) 3200MT/s","Samsung","ram","M378A2K43EB1-CWE","medium"
"ram-samsung-samsung-ddr4-udimm-32gb-1x32gb-2666mt-s","Samsung DDR4 UDIMM 32GB (1x32GB) 2666MT/s","Samsung","ram","M378A4G43MB1-CTD","medium"
"ram-samsung-samsung-ddr4-udimm-32gb-1x32gb-2933mt-s","Samsung DDR4 UDIMM 32GB (1x32GB) 2933MT/s","Samsung","ram","M378A4G43AB2-CVF","medium"
"ram-samsung-samsung-ddr4-udimm-32gb-1x32gb-3200mt-s","Samsung DDR4 UDIMM 32GB (1x32GB) 3200MT/s","Samsung","ram","M378A4G43AB2-CWE","medium"
"ram-samsung-samsung-ddr5-udimm-8gb-1x8gb-4800mt-s","Samsung DDR5 UDIMM 8GB (1x8GB) 4800MT/s","Samsung","ram","M323R1GB4BB0-CQK","medium"
"ram-samsung-samsung-ddr5-udimm-8gb-1x8gb-5600mt-s","Samsung DDR5 UDIMM 8GB (1x8GB) 5600MT/s","Samsung","ram","M323R1GB4BB0-CWM","low"
"ram-samsung-samsung-ddr5-udimm-16gb-1x16gb-4800mt-s","Samsung DDR5 UDIMM 16GB (1x16GB) 4800MT/s","Samsung","ram","M323R2GA3BB0-CQK","medium"
"ram-samsung-samsung-ddr5-udimm-16gb-1x16gb-5600mt-s","Samsung DDR5 UDIMM 16GB (1x16GB) 5600MT/s","Samsung","ram","M323R2GA3BB0-CWM","medium"
"ram-samsung-samsung-ddr5-udimm-32gb-1x32gb-4800mt-s","Samsung DDR5 UDIMM 32GB (1x32GB) 4800MT/s","Samsung","ram","M323R4GA3BB0-CQK","medium"
"ram-samsung-samsung-ddr5-udimm-32gb-1x32gb-5600mt-s","Samsung DDR5 UDIMM 32GB (1x32GB) 5600MT/s","Samsung","ram","M323R4GA3BB0-CWM","medium"
"ram-samsung-samsung-ddr5-cudimm-16gb-1x16gb-6400mt-s","Samsung DDR5 CUDIMM 16GB (1x16GB) 6400MT/s","Samsung","ram","M425R2GA3BB0-CWMOL","low"
"ram-samsung-samsung-ddr5-cudimm-32gb-2x16gb-6400mt-s","Samsung DDR5 CUDIMM 32GB (2x16GB) 6400MT/s","Samsung","ram","M425R2GA3BB0-CWMOL","low"
"ram-samsung-samsung-ddr5-cudimm-32gb-1x32gb-6400mt-s","Samsung DDR5 CUDIMM 32GB (1x32GB) 6400MT/s","Samsung","ram","M425R4GA3BB0-CWMOL","low"
"ram-samsung-samsung-ddr5-cudimm-64gb-2x32gb-6400mt-s","Samsung DDR5 CUDIMM 64GB (2x32GB) 6400MT/s","Samsung","ram","M425R4GA3BB0-CWMOL","low"
"storage-samsung-samsung-870-evo-250gb-ssd","Samsung 870 EVO 250GB SSD","Samsung","storage","MZ-77E250B/AM","high"
"storage-samsung-samsung-870-evo-500gb-ssd","Samsung 870 EVO 500GB SSD","Samsung","storage","MZ-77E500B/AM","high"
"storage-samsung-samsung-870-evo-1tb-ssd","Samsung 870 EVO 1TB SSD","Samsung","storage","MZ-77E1T0B/AM","high"
"storage-samsung-samsung-870-evo-2tb-ssd","Samsung 870 EVO 2TB SSD","Samsung","storage","MZ-77E2T0B/AM","high"
"storage-samsung-samsung-870-evo-4tb-ssd","Samsung 870 EVO 4TB SSD","Samsung","storage","MZ-77E4T0B/AM","high"
"storage-samsung-samsung-870-qvo-1tb-ssd","Samsung 870 QVO 1TB SSD","Samsung","storage","MZ-77Q1T0BW","high"
"storage-samsung-samsung-870-qvo-2tb-ssd","Samsung 870 QVO 2TB SSD","Samsung","storage","MZ-77Q2T0BW","high"
"storage-samsung-samsung-870-qvo-4tb-ssd","Samsung 870 QVO 4TB SSD","Samsung","storage","MZ-77Q4T0BW","high"
"storage-samsung-samsung-870-qvo-8tb-ssd","Samsung 870 QVO 8TB SSD","Samsung","storage","MZ-77Q8T0BW","high"
"storage-samsung-samsung-970-evo-plus-250gb-ssd","Samsung 970 EVO Plus 250GB SSD","Samsung","storage","MZ-V7S250B/AM","high"
"storage-samsung-samsung-970-evo-plus-500gb-ssd","Samsung 970 EVO Plus 500GB SSD","Samsung","storage","MZ-V7S500B/AM","high"
"storage-samsung-samsung-970-evo-plus-1tb-ssd","Samsung 970 EVO Plus 1TB SSD","Samsung","storage","MZ-V7S1T0B/AM","high"
"storage-samsung-samsung-970-evo-plus-2tb-ssd","Samsung 970 EVO Plus 2TB SSD","Samsung","storage","MZ-V7S2T0B/AM","high"
"storage-samsung-samsung-980-250gb-ssd","Samsung 980 250GB SSD","Samsung","storage","MZ-V8V250B/AM","high"
"storage-samsung-samsung-980-500gb-ssd","Samsung 980 500GB SSD","Samsung","storage","MZ-V8V500B/AM","high"
"storage-samsung-samsung-980-1tb-ssd","Samsung 980 1TB SSD","Samsung","storage","MZ-V8V1T0B/AM","high"
"storage-samsung-samsung-980-pro-250gb-ssd","Samsung 980 PRO 250GB SSD","Samsung","storage","MZ-V8P250B/AM","high"
"storage-samsung-samsung-980-pro-500gb-ssd","Samsung 980 PRO 500GB SSD","Samsung","storage","MZ-V8P500B/AM","high"
"storage-samsung-samsung-980-pro-1tb-ssd","Samsung 980 PRO 1TB SSD","Samsung","storage","MZ-V8P1T0B/AM","high"
"storage-samsung-samsung-980-pro-2tb-ssd","Samsung 980 PRO 2TB SSD","Samsung","storage","MZ-V8P2T0B/AM","high"
"storage-samsung-samsung-990-pro-1tb-ssd","Samsung 990 PRO 1TB SSD","Samsung","storage","MZ-V9P1T0B/AM","high"
"storage-samsung-samsung-990-pro-2tb-ssd","Samsung 990 PRO 2TB SSD","Samsung","storage","MZ-V9P2T0B/AM","high"
"storage-samsung-samsung-990-pro-4tb-ssd","Samsung 990 PRO 4TB SSD","Samsung","storage","MZ-V9P4T0B/AM","medium"
"storage-samsung-samsung-990-evo-1tb-ssd","Samsung 990 EVO 1TB SSD","Samsung","storage","MZ-V9E1T0BW","high"
"storage-samsung-samsung-990-evo-2tb-ssd","Samsung 990 EVO 2TB SSD","Samsung","storage","MZ-V9E2T0BW","high"
